ejercicio_presupuestario,servicio_id,programa_id,programa_desc,subprograma_id,subprograma_desc,proyecto_id,proyecto_desc,actividad_id,actividad_desc,obra_id,obra_desc,ultima_actualizacion_fecha
2023,105,1,Actividades Centrales,0,Actividades Centrales,6,Puesta en Marcha del Modulo de Enriquecimiento de Uranio,0,Puesta en Marcha del Modulo de Enriquecimiento de Uranio,51,Puesta en Marcha del Modulo de Enriquecimiento de Uranio,2024-07-01 00:00:00
2023,105,1,Actividades Centrales,0,Actividades Centrales,10,Modernizacion Infraestructura Informatica de la Red Local de Voz y Datos,0,Modernizacion Infraestructura Informatica de la Red Local de Voz y Datos,51,Modernizacion Infraestructura Informatica de la Red Local de Voz y Datos,2024-07-01 00:00:00
2023,105,1,Actividades Centrales,0,Actividades Centrales,14,"Desarrollo de Tecnologia de Laseres para Enriquecimiento de Uranio en el Centro Atomico Bariloche, Pcia. de Rio Negro",0,"Desarrollo de Tecnologia de Laseres para Enriquecimiento de Uranio en el Centro Atomico Bariloche, Pcia. de Rio Negro",51,"Desarrollo de Tecnologia de Laseres para Enriquecimiento de Uranio en el Centro Atomico Bariloche, Pcia. de Rio Negro",2024-07-01 00:00:00
2023,105,20,Desarrollos y Suministros para la Energia Nuclear,0,Desarrollos y Suministros para la Energia Nuclear,0,Desarrollos y Suministros para la Energia Nuclear,1,Coordinacion y Administracion,0,Desarrollos y Suministros para la Energia Nuclear,2024-07-01 00:00:00
2023,105,20,Desarrollos y Suministros para la Energia Nuclear,0,Desarrollos y Suministros para la Energia Nuclear,0,Desarrollos y Suministros para la Energia Nuclear,3,Ingenieria de Centrales Nucleares de Potencia,0,Desarrollos y Suministros para la Energia Nuclear,2024-07-01 00:00:00
2023,105,20,Desarrollos y Suministros para la Energia Nuclear,0,Desarrollos y Suministros para la Energia Nuclear,0,Desarrollos y Suministros para la Energia Nuclear,4,Desarrollo de Reactores Nucleares de Experimentacion y Produccion,0,Desarrollos y Suministros para la Energia Nuclear,2024-07-01 00:00:00
2023,105,20,Desarrollos y Suministros para la Energia Nuclear,0,Desarrollos y Suministros para la Energia Nuclear,20,Equipamiento de Centro de Investigacio y Desarrollo en el Centro Atomico Consituyentes,0,Equipamiento de Centro de Investigacio y Desarrollo en el Centro Atomico Consituyentes,51,Equipamiento de Centro de Investigacion y Desarrollo en el Centro Atomico Consituyentes,2024-07-01 00:00:00
2023,105,20,Desarrollos y Suministros para la Energia Nuclear,0,Desarrollos y Suministros para la Energia Nuclear,22,Construccion de  Reactor RA-10,0,Construccion de  Reactor RA-10,51,Construccion de  Reactor RA-10,2024-07-01 00:00:00
2023,105,20,Desarrollos y Suministros para la Energia Nuclear,0,Desarrollos y Suministros para la Energia Nuclear,28,"Modernizacion y Equipamiento de Laboratorios en Materiales Avanzados, Recubiertos y Tribologia",0,"Modernizacion y Equipamiento de Laboratorios en Materiales Avanzados, Recubiertos y Tribologia",51,"Modernizacion y Equipamiento de Laboratorios en Materiales Avanzados, Recubiertos y Tribologia",2024-07-01 00:00:00
2023,105,20,Desarrollos y Suministros para la Energia Nuclear,0,Desarrollos y Suministros para la Energia Nuclear,30,"Readecuacion de Servicios para la Sostenibilidad Econ. y Ambiental del Centro Atomico Bariloche (CAB), Provincia de Rio Negro",0,"Readecuacion de Servicios para la Sostenibilidad Econ. y Ambiental del Centro Atomico Bariloche (CAB), Provincia de Rio Negro",51,"Readecuacion de Servicios para la Sostenibilidad Econ. y Ambiental del Centro Atomico Bariloche (CAB), Provincia de Rio Negro",2024-07-01 00:00:00
